,name,oversampler,proportion,balanced acc,precision,recall,f1_score,geometric mean,average precision
0,ecoli,,0.0,0.9761904761904762,0.5454545454545454,1.0,0.7058823529411764,0.9759000729485332,0.5454545454545454
0,ecoli,Borderline_SMOTE1,0.1,0.8785714285714286,0.38461538461538464,0.8333333333333334,0.5263157894736842,0.8774059891756324,0.32952182952182957
0,ecoli,Borderline_SMOTE1,0.3,0.9571428571428571,0.4,1.0,0.5714285714285715,0.9561828874675149,0.4
0,ecoli,Borderline_SMOTE1,0.5,0.8785714285714286,0.38461538461538464,0.8333333333333334,0.5263157894736842,0.8774059891756324,0.32952182952182957
0,ecoli,Borderline_SMOTE1,0.7,0.9571428571428571,0.4,1.0,0.5714285714285715,0.9561828874675149,0.4
0,ecoli,Borderline_SMOTE1,0.9,0.8785714285714286,0.38461538461538464,0.8333333333333334,0.5263157894736842,0.8774059891756324,0.32952182952182957
0,ecoli,Borderline_SMOTE1,1.0,0.8785714285714286,0.38461538461538464,0.8333333333333334,0.5263157894736842,0.8774059891756324,0.32952182952182957
0,ecoli,polynom_fit_SMOTE,0.1,0.8833333333333333,0.4166666666666667,0.8333333333333334,0.5555555555555556,0.8819171036881969,0.3562312312312313
0,ecoli,polynom_fit_SMOTE,0.3,0.7119047619047619,0.2727272727272727,0.5,0.3529411764705882,0.6796357567879738,0.16339066339066338
0,ecoli,polynom_fit_SMOTE,0.5,0.9571428571428571,0.4,1.0,0.5714285714285715,0.9561828874675149,0.4
0,ecoli,polynom_fit_SMOTE,0.7,0.9523809523809523,0.375,1.0,0.5454545454545454,0.9511897312113419,0.375
0,ecoli,polynom_fit_SMOTE,0.9,0.8690476190476191,0.3333333333333333,0.8333333333333334,0.47619047619047616,0.8683134537528795,0.2867867867867868
0,ecoli,polynom_fit_SMOTE,1.0,0.7904761904761904,0.3076923076923077,0.6666666666666666,0.42105263157894735,0.7807200583588265,0.22314622314622315
0,ecoli,SVM_balance,0.1,0.9476190476190476,0.35294117647058826,1.0,0.5217391304347826,0.9461702252967461,0.35294117647058826
0,ecoli,SVM_balance,0.3,0.9476190476190476,0.35294117647058826,1.0,0.5217391304347826,0.9461702252967461,0.35294117647058826
0,ecoli,SVM_balance,0.5,0.9333333333333333,0.3,1.0,0.4615384615384615,0.9309493362512627,0.3
0,ecoli,SVM_balance,0.7,0.9428571428571428,0.3333333333333333,1.0,0.5,0.9411239481143202,0.3333333333333333
0,ecoli,SVM_balance,0.9,0.9285714285714286,0.2857142857142857,1.0,0.4444444444444445,0.9258200997725514,0.2857142857142857
0,ecoli,SVM_balance,1.0,0.9285714285714286,0.2857142857142857,1.0,0.4444444444444445,0.9258200997725514,0.2857142857142857
0,ecoli,Random_SMOTE,0.1,0.8047619047619048,0.4,0.6666666666666666,0.5,0.7928249671720918,0.28468468468468466
0,ecoli,Random_SMOTE,0.3,0.888095238095238,0.45454545454545453,0.8333333333333334,0.5882352941176471,0.8864052604279183,0.3877968877968878
0,ecoli,Random_SMOTE,0.5,0.8833333333333333,0.4166666666666667,0.8333333333333334,0.5555555555555556,0.8819171036881969,0.3562312312312313
0,ecoli,Random_SMOTE,0.7,0.9619047619047619,0.42857142857142855,1.0,0.6,0.9611501047232549,0.42857142857142855
0,ecoli,Random_SMOTE,0.9,0.8833333333333333,0.4166666666666667,0.8333333333333334,0.5555555555555556,0.8819171036881969,0.3562312312312313
0,ecoli,Random_SMOTE,1.0,0.9619047619047619,0.42857142857142855,1.0,0.6,0.9611501047232549,0.42857142857142855
0,optical_digits,,0.0,0.9494029850746268,0.9878048780487805,0.9,0.9418604651162791,0.9481167507930278,0.8987278942870291
0,optical_digits,Borderline_SMOTE1,0.1,0.955257048092869,0.9939393939393939,0.9111111111111111,0.9507246376811593,0.9542364299161421,0.9142145625164492
0,optical_digits,Borderline_SMOTE1,0.3,0.9441459369817579,0.9937888198757764,0.8888888888888888,0.93841642228739,0.9425275640294154,0.8941495110486086
0,optical_digits,Borderline_SMOTE1,0.5,0.9577363184079601,0.9880239520958084,0.9166666666666666,0.9510086455331412,0.9568553387547579,0.9137748761237633
0,optical_digits,Borderline_SMOTE1,0.7,0.9521807628524046,0.9878787878787879,0.9055555555555556,0.9449275362318841,0.9510385350713783,0.9037435450642998
0,optical_digits,Borderline_SMOTE1,0.9,0.9555555555555555,1.0,0.9111111111111111,0.9534883720930233,0.9545214042184236,0.9197364480383348
0,optical_digits,Borderline_SMOTE1,1.0,0.9527777777777777,1.0,0.9055555555555556,0.9504373177842567,0.9516068282413465,0.9147199760407307
0,optical_digits,polynom_fit_SMOTE,0.1,0.9524792703150913,0.9939024390243902,0.9055555555555556,0.9476744186046511,0.9513227240916378,0.9091982958239285
0,optical_digits,polynom_fit_SMOTE,0.3,0.9469237147595357,0.9938271604938271,0.8944444444444445,0.9415204678362574,0.9454683748075311,0.8991657700427792
0,optical_digits,polynom_fit_SMOTE,0.5,0.9518822553897182,0.9819277108433735,0.9055555555555556,0.9421965317919075,0.9507542611044623,0.8983545141933412
0,optical_digits,polynom_fit_SMOTE,0.7,0.9549585406301824,0.9879518072289156,0.9111111111111111,0.9479768786127168,0.953951370483369,0.9087592057357913
0,optical_digits,polynom_fit_SMOTE,0.9,0.9577363184079601,0.9880239520958084,0.9166666666666666,0.9510086455331412,0.9568553387547579,0.9137748761237633
0,optical_digits,polynom_fit_SMOTE,1.0,0.9524792703150913,0.9939024390243902,0.9055555555555556,0.9476744186046511,0.9513227240916378,0.9091982958239285
0,optical_digits,SVM_balance,0.1,0.9497014925373135,0.9938650306748467,0.9,0.9446064139941692,0.9484000667266764,0.9041820316504887
0,optical_digits,SVM_balance,0.3,0.9497014925373135,0.9938650306748467,0.9,0.9446064139941692,0.9484000667266764,0.9041820316504887
0,optical_digits,SVM_balance,0.5,0.9577363184079601,0.9880239520958084,0.9166666666666666,0.9510086455331412,0.9568553387547579,0.9137748761237633
0,optical_digits,SVM_balance,0.7,0.9654726368159203,0.9767441860465116,0.9333333333333333,0.9545454545454545,0.9649375511461559,0.918096909672162
0,optical_digits,SVM_balance,0.9,0.9629933665008292,0.9823529411764705,0.9277777777777778,0.9542857142857143,0.9623492537719813,0.9184133150115391
0,optical_digits,SVM_balance,1.0,0.9574378109452737,0.9821428571428571,0.9166666666666666,0.9482758620689654,0.9565693260929343,0.9083838724168912
