name,oversampler,proportion,balanced acc,precision,recall,f1_score,geometric mean,average precision
ecoli,,0.0,0.9761904761904762,0.5454545454545454,1.0,0.7058823529411764,0.9759000729485332,0.5454545454545454
ecoli,SMOTE,0.1,0.8833333333333333,0.4166666666666667,0.8333333333333334,0.5555555555555556,0.8819171036881969,0.3562312312312313
ecoli,SMOTE,0.3,0.8785714285714286,0.38461538461538464,0.8333333333333334,0.5263157894736842,0.8774059891756324,0.3295218295218296
ecoli,SMOTE,0.5,0.8785714285714286,0.38461538461538464,0.8333333333333334,0.5263157894736842,0.8774059891756324,0.3295218295218296
ecoli,SMOTE,0.7,0.9571428571428572,0.4,1.0,0.5714285714285715,0.9561828874675148,0.4
ecoli,SMOTE,0.9,0.8738095238095238,0.35714285714285715,0.8333333333333334,0.5,0.8728715609439696,0.30662805662805664
ecoli,SMOTE,1.0,0.9523809523809524,0.375,1.0,0.5454545454545454,0.951189731211342,0.375
optical_digits,,0.0,0.9494029850746268,0.9878048780487804,0.9,0.9418604651162792,0.9481167507930278,0.8987278942870291
optical_digits,SMOTE,0.1,0.9497014925373136,0.9938650306748468,0.9,0.9446064139941692,0.9484000667266764,0.9041820316504888
optical_digits,SMOTE,0.3,0.9497014925373136,0.9938650306748468,0.9,0.9446064139941692,0.9484000667266764,0.9041820316504888
optical_digits,SMOTE,0.5,0.95773631840796,0.9880239520958084,0.9166666666666666,0.9510086455331412,0.956855338754758,0.9137748761237632
optical_digits,SMOTE,0.7,0.9654726368159204,0.9767441860465116,0.9333333333333332,0.9545454545454544,0.964937551146156,0.918096909672162
optical_digits,SMOTE,0.9,0.9629933665008292,0.9823529411764704,0.9277777777777778,0.9542857142857144,0.9623492537719812,0.9184133150115392
optical_digits,SMOTE,1.0,0.9574378109452736,0.9821428571428572,0.9166666666666666,0.9482758620689654,0.9565693260929344,0.9083838724168912
satimage,,0.0,0.787401104642484,0.8051948051948052,0.5904761904761905,0.6813186813186813,0.7623785659190596,0.5159380033472044
satimage,SMOTE,0.1,0.8054037916106882,0.7951807228915663,0.6285714285714286,0.702127659574468,0.7857516038308954,0.536551046802221
satimage,SMOTE,0.3,0.8149276011344977,0.8,0.6476190476190476,0.7157894736842105,0.7975680804867975,0.5529351627656713
satimage,SMOTE,0.5,0.8205030601582326,0.7765363128491619,0.6619047619047619,0.7146529562982004,0.8050290997970988,0.5474205785587283
satimage,SMOTE,0.7,0.8051724137931034,0.7514124293785308,0.6333333333333333,0.6873385012919896,0.7866218572860489,0.5121468926553672
satimage,SMOTE,0.9,0.8120838931183758,0.7172774869109948,0.6523809523809524,0.6832917705735662,0.7962256088459582,0.5023072849100003
satimage,SMOTE,1.0,0.8340050753843857,0.7712765957446809,0.6904761904761905,0.7286432160804022,0.8215618813966024,0.563150762168072
pen_digits,,0.0,0.9953970347029066,0.9942528735632185,0.991404011461318,0.9928263988522238,0.9953890256883144,0.9865331891318282
pen_digits,SMOTE,0.1,0.9898188611909948,0.9970845481049564,0.9799426934097422,0.9884393063583816,0.9897695889849286,0.979015155333932
pen_digits,SMOTE,0.3,0.9926841907038888,0.9971014492753624,0.98567335243553,0.9913544668587896,0.9926594333507388,0.9841944980160904
pen_digits,SMOTE,0.5,0.9953970347029066,0.9942528735632185,0.991404011461318,0.9928263988522238,0.9953890256883144,0.9865331891318282
pen_digits,SMOTE,0.7,0.9925317051900128,0.9942196531791908,0.98567335243553,0.9899280575539569,0.992508009441178,0.9813539883969412
pen_digits,SMOTE,0.9,0.9925317051900128,0.9942196531791908,0.98567335243553,0.9899280575539569,0.992508009441178,0.9813539883969412
pen_digits,SMOTE,1.0,0.9953970347029066,0.9942528735632185,0.991404011461318,0.9928263988522238,0.9953890256883144,0.9865331891318282
abalone,,0.0,0.5531079542048792,0.33962264150943394,0.13432835820895522,0.1925133689839572,0.3613198845651833,0.1297398786030715
abalone,SMOTE,0.1,0.5755619492896961,0.28,0.20895522388059698,0.2393162393162393,0.4437015509945532,0.13537475782797398
abalone,SMOTE,0.3,0.5848648324641851,0.2711864406779661,0.2388059701492537,0.25396825396825395,0.4714977582838064,0.138727583551986
abalone,SMOTE,0.5,0.5997902055985135,0.29508196721311475,0.26865671641791045,0.28125,0.5000988932951027,0.15034174223332866
abalone,SMOTE,0.7,0.6005934184499191,0.3,0.26865671641791045,0.2834645669291339,0.500530199018474,0.15166300477308886
abalone,SMOTE,0.9,0.5819367020320086,0.26956521739130435,0.23134328358208955,0.24899598393574296,0.4644723674358796,0.13705390818709678
abalone,SMOTE,1.0,0.6132260384822874,0.2928571428571429,0.3059701492537313,0.29927007299270075,0.5306976472597642,0.15704571774918016
sick_euthyroid,,0.0,0.9276570500811788,0.9263157894736842,0.8627450980392157,0.8934010152284264,0.9253831860626262,0.8125843682905709
sick_euthyroid,SMOTE,0.1,0.9211627326089672,0.8969072164948454,0.8529411764705882,0.8743718592964823,0.9186330057349764,0.779376912514028
sick_euthyroid,SMOTE,0.3,0.9234107655801174,0.8543689320388349,0.8627450980392157,0.8585365853658536,0.9214158229437324,0.7505125697193284
sick_euthyroid,SMOTE,0.5,0.9321531160234796,0.8411214953271028,0.8823529411764706,0.8612440191387559,0.9308218810800968,0.7536602781621833
sick_euthyroid,SMOTE,0.7,0.9277819408017984,0.8476190476190476,0.8725490196078431,0.8599033816425121,0.9261364122494776,0.7520412762806272
sick_euthyroid,SMOTE,0.9,0.9228799800174848,0.8461538461538461,0.8627450980392157,0.854368932038835,0.9209187008018312,0.7434250446420833
