name,oversampler,proportion,balanced acc,precision,recall,f1_score,geometric mean,average precision
ecoli,,0.0,0.9761904761904762,0.5454545454545454,1.0,0.7058823529411764,0.9759000729485332,0.5454545454545454
ecoli,synthsonic,0.1,0.980952380952381,0.6,1.0,0.7499999999999999,0.9807674351775564,0.6
ecoli,synthsonic,0.3,0.9666666666666668,0.4615384615384616,1.0,0.631578947368421,0.9660917830792959,0.4615384615384616
ecoli,synthsonic,0.5,0.9666666666666668,0.4615384615384616,1.0,0.631578947368421,0.9660917830792959,0.4615384615384616
ecoli,synthsonic,0.7,0.8785714285714286,0.38461538461538464,0.8333333333333334,0.5263157894736842,0.8774059891756324,0.3295218295218296
ecoli,synthsonic,0.9,0.9523809523809524,0.375,1.0,0.5454545454545454,0.9511897312113421,0.375
ecoli,synthsonic,1.0,0.8738095238095238,0.35714285714285715,0.8333333333333334,0.5,0.8728715609439696,0.30662805662805664
ecoli,ADASYN,0.1,0.8880952380952379,0.4545454545454545,0.8333333333333334,0.5882352941176471,0.8864052604279183,0.3877968877968878
ecoli,ADASYN,0.3,0.8880952380952379,0.4545454545454545,0.8333333333333334,0.5882352941176471,0.8864052604279183,0.3877968877968878
ecoli,ADASYN,0.5,0.8880952380952379,0.4545454545454545,0.8333333333333334,0.5882352941176471,0.8864052604279183,0.3877968877968878
ecoli,ADASYN,0.7,0.8880952380952379,0.4545454545454545,0.8333333333333334,0.5882352941176471,0.8864052604279183,0.3877968877968878
ecoli,ADASYN,0.9,0.8880952380952379,0.4545454545454545,0.8333333333333334,0.5882352941176471,0.8864052604279183,0.3877968877968878
ecoli,ADASYN,1.0,0.8880952380952379,0.4545454545454545,0.8333333333333334,0.5882352941176471,0.8864052604279183,0.3877968877968878
optical_digits,,0.0,0.9494029850746268,0.9878048780487804,0.9,0.9418604651162792,0.9481167507930278,0.8987278942870291
optical_digits,synthsonic,0.1,0.9521807628524046,0.9878787878787879,0.9055555555555556,0.9449275362318841,0.9510385350713784,0.9037435450642998
optical_digits,synthsonic,0.3,0.9660696517412936,0.9882352941176472,0.9333333333333332,0.96,0.9655148395921406,0.9288219438718884
optical_digits,synthsonic,0.5,0.9685489220563848,0.9825581395348836,0.9388888888888888,0.9602272727272728,0.9680946734948436,0.9284428390341072
optical_digits,synthsonic,0.7,0.9707296849087894,0.9714285714285714,0.9444444444444444,0.9577464788732396,0.9703737461910484,0.9228511530398322
optical_digits,synthsonic,0.9,0.9654726368159204,0.9767441860465116,0.9333333333333332,0.9545454545454544,0.9649375511461559,0.918096909672162
optical_digits,synthsonic,1.0,0.9707296849087894,0.9714285714285714,0.9444444444444444,0.9577464788732396,0.9703737461910484,0.9228511530398322
