,name,oversampler,proportion,balanced acc,precision,recall,f1_score,geometric mean,average precision
0,car_eval_4,,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0,car_eval_4,synthsonic,0.1,1.0,1.0,1.0,1.0,1.0,1.0
0,car_eval_4,synthsonic,0.3,1.0,1.0,1.0,1.0,1.0,1.0
0,car_eval_4,synthsonic,0.5,1.0,1.0,1.0,1.0,1.0,1.0
0,car_eval_4,synthsonic,0.7,1.0,1.0,1.0,1.0,1.0,1.0
0,car_eval_4,synthsonic,0.9,1.0,1.0,1.0,1.0,1.0,1.0
0,car_eval_4,synthsonic,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,car_eval_4,ADASYN,0.1,1.0,1.0,1.0,1.0,1.0,1.0
0,car_eval_4,ADASYN,0.3,1.0,1.0,1.0,1.0,1.0,1.0
0,car_eval_4,ADASYN,0.5,1.0,1.0,1.0,1.0,1.0,1.0
0,car_eval_4,ADASYN,0.7,1.0,1.0,1.0,1.0,1.0,1.0
0,car_eval_4,ADASYN,0.9,1.0,1.0,1.0,1.0,1.0,1.0
0,car_eval_4,ADASYN,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,wine_quality,,0.0,0.5864029468289558,0.5263157894736842,0.17857142857142858,0.26666666666666666,0.4213571748118731,0.12243270513947205
0,wine_quality,synthsonic,0.1,0.5937299807815503,0.44,0.19642857142857142,0.2716049382716049,0.4412106981987141,0.11425788497217068
0,wine_quality,synthsonic,0.3,0.6370916079436258,0.47058823529411764,0.2857142857142857,0.35555555555555557,0.5314317400524108,0.1591909491069155
0,wine_quality,synthsonic,0.5,0.6262411915438821,0.38461538461538464,0.26785714285714285,0.31578947368421056,0.51355516123704,0.12837757480614626
0,wine_quality,synthsonic,0.7,0.6189141575912877,0.42424242424242425,0.25,0.3146067415730337,0.4969477626427589,0.13203463203463203
0,wine_quality,synthsonic,0.9,0.6096652786675208,0.3939393939393939,0.23214285714285715,0.2921348314606742,0.47871554524466825,0.11804267161410018
0,wine_quality,synthsonic,1.0,0.6246396540679052,0.3409090909090909,0.26785714285714285,0.3,0.5127191600947,0.11667053184910327
0,wine_quality,ADASYN,0.1,0.6249599615631005,0.3488372093023256,0.26785714285714285,0.30303030303030304,0.5128864693372326,0.11879413499014828
0,wine_quality,ADASYN,0.3,0.6249599615631005,0.3488372093023256,0.26785714285714285,0.30303030303030304,0.5128864693372326,0.11879413499014828
0,wine_quality,ADASYN,0.5,0.6249599615631005,0.3488372093023256,0.26785714285714285,0.30303030303030304,0.5128864693372326,0.11879413499014828
0,wine_quality,ADASYN,0.7,0.6249599615631005,0.3488372093023256,0.26785714285714285,0.30303030303030304,0.5128864693372326,0.11879413499014828
0,wine_quality,ADASYN,0.9,0.6249599615631005,0.3488372093023256,0.26785714285714285,0.30303030303030304,0.5128864693372326,0.11879413499014828
0,wine_quality,ADASYN,1.0,0.6249599615631005,0.3488372093023256,0.26785714285714285,0.30303030303030304,0.5128864693372326,0.11879413499014828
0,letter_img,,0.0,0.9810143401309891,0.9913793103448276,0.9623430962343096,0.9766454352441614,0.9808366429706787,0.9554106714235122
0,letter_img,synthsonic,0.1,0.985277044542482,0.9957081545064378,0.9707112970711297,0.983050847457627,0.9851693730029212,0.9676057602258511
0,letter_img,synthsonic,0.3,0.9848054205839849,0.9707112970711297,0.9707112970711297,0.9707112970711297,0.984704560817103,0.9433410283221211
0,letter_img,synthsonic,0.5,0.9869760747862728,0.9748953974895398,0.9748953974895398,0.9748953974895398,0.9869021377201341,0.9513301269553787
0,letter_img,synthsonic,0.7,0.9843337966254878,0.9469387755102041,0.9707112970711297,0.9586776859504132,0.9842395291213611,0.9202647730830636
0,letter_img,synthsonic,0.9,0.9879676690923179,0.9212598425196851,0.9790794979079498,0.9492900608519271,0.9879276874269215,0.9027441998145059
0,letter_img,synthsonic,1.0,0.9846482125978192,0.9626556016597511,0.9707112970711297,0.9666666666666666,0.9845495746572044,0.9355212737805317
0,letter_img,ADASYN,0.1,0.9809357361379063,0.9871244635193133,0.9623430962343096,0.9745762711864406,0.9807595180133768,0.9513160489554441
0,letter_img,ADASYN,0.3,0.9809357361379063,0.9871244635193133,0.9623430962343096,0.9745762711864406,0.9807595180133768,0.9513160489554441
0,letter_img,ADASYN,0.5,0.9809357361379063,0.9871244635193133,0.9623430962343096,0.9745762711864406,0.9807595180133768,0.9513160489554441
0,letter_img,ADASYN,0.7,0.9809357361379063,0.9871244635193133,0.9623430962343096,0.9745762711864406,0.9807595180133768,0.9513160489554441
0,letter_img,ADASYN,0.9,0.9809357361379063,0.9871244635193133,0.9623430962343096,0.9745762711864406,0.9807595180133768,0.9513160489554441
0,letter_img,ADASYN,1.0,0.9809357361379063,0.9871244635193133,0.9623430962343096,0.9745762711864406,0.9807595180133768,0.9513160489554441
0,yeast_me2,,0.0,0.5967705888926137,0.3333333333333333,0.21052631578947367,0.2580645161290323,0.45491812149249883,0.10078768349445041
0,yeast_me2,synthsonic,0.1,0.6241479494915633,0.4166666666666667,0.2631578947368421,0.3225806451612903,0.509162884765481,0.1382205513784461
0,yeast_me2,synthsonic,0.3,0.5957090177673483,0.3076923076923077,0.21052631578947367,0.25,0.45442658367041283,0.09538957283318186
0,yeast_me2,synthsonic,0.5,0.5946474466420829,0.2857142857142857,0.21052631578947367,0.24242424242424243,0.4539345135925021,0.09076262083780881
0,yeast_me2,synthsonic,0.7,0.5935858755168175,0.26666666666666666,0.21052631578947367,0.23529411764705882,0.4534419095259726,0.08675259577515215
