,name,oversampler,proportion,balanced acc,precision,recall,f1_score,geometric mean,average precision
0,ecoli,,0.0,0.9761904761904762,0.5454545454545454,1.0,0.7058823529411764,0.9759000729485332,0.5454545454545454
0,ecoli,synthsonic,0.1,0.980952380952381,0.6,1.0,0.7499999999999999,0.9807674351775563,0.6
0,ecoli,synthsonic,0.3,0.9666666666666667,0.46153846153846156,1.0,0.631578947368421,0.9660917830792959,0.46153846153846156
0,ecoli,synthsonic,0.5,0.9666666666666667,0.46153846153846156,1.0,0.631578947368421,0.9660917830792959,0.46153846153846156
0,ecoli,synthsonic,0.7,0.8785714285714286,0.38461538461538464,0.8333333333333334,0.5263157894736842,0.8774059891756324,0.32952182952182957
0,ecoli,synthsonic,0.9,0.9523809523809523,0.375,1.0,0.5454545454545454,0.9511897312113419,0.375
0,ecoli,synthsonic,1.0,0.8738095238095238,0.35714285714285715,0.8333333333333334,0.5,0.8728715609439696,0.30662805662805664
0,ecoli,ADASYN,0.1,0.888095238095238,0.45454545454545453,0.8333333333333334,0.5882352941176471,0.8864052604279183,0.3877968877968878
0,ecoli,ADASYN,0.3,0.888095238095238,0.45454545454545453,0.8333333333333334,0.5882352941176471,0.8864052604279183,0.3877968877968878
0,ecoli,ADASYN,0.5,0.888095238095238,0.45454545454545453,0.8333333333333334,0.5882352941176471,0.8864052604279183,0.3877968877968878
0,ecoli,ADASYN,0.7,0.888095238095238,0.45454545454545453,0.8333333333333334,0.5882352941176471,0.8864052604279183,0.3877968877968878
0,ecoli,ADASYN,0.9,0.888095238095238,0.45454545454545453,0.8333333333333334,0.5882352941176471,0.8864052604279183,0.3877968877968878
0,ecoli,ADASYN,1.0,0.888095238095238,0.45454545454545453,0.8333333333333334,0.5882352941176471,0.8864052604279183,0.3877968877968878
0,optical_digits,,0.0,0.9494029850746268,0.9878048780487805,0.9,0.9418604651162791,0.9481167507930278,0.8987278942870291
0,optical_digits,synthsonic,0.1,0.9521807628524046,0.9878787878787879,0.9055555555555556,0.9449275362318841,0.9510385350713783,0.9037435450642998
0,optical_digits,synthsonic,0.3,0.9660696517412936,0.9882352941176471,0.9333333333333333,0.96,0.9655148395921406,0.9288219438718884
0,optical_digits,synthsonic,0.5,0.9685489220563848,0.9825581395348837,0.9388888888888889,0.9602272727272727,0.9680946734948437,0.9284428390341071
0,optical_digits,synthsonic,0.7,0.9707296849087894,0.9714285714285714,0.9444444444444444,0.9577464788732395,0.9703737461910483,0.9228511530398322
0,optical_digits,synthsonic,0.9,0.9654726368159203,0.9767441860465116,0.9333333333333333,0.9545454545454545,0.9649375511461559,0.918096909672162
0,optical_digits,synthsonic,1.0,0.9707296849087894,0.9714285714285714,0.9444444444444444,0.9577464788732395,0.9703737461910483,0.9228511530398322
0,optical_digits,ADASYN,0.1,0.9521807628524046,0.9878787878787879,0.9055555555555556,0.9449275362318841,0.9510385350713783,0.9037435450642998
0,optical_digits,ADASYN,0.3,0.9521807628524046,0.9878787878787879,0.9055555555555556,0.9449275362318841,0.9510385350713783,0.9037435450642998
