name,oversampler,proportion,balanced acc,precision,recall,f1_score,geometric mean,average precision
scene,Borderline_SMOTE1,0.5,0.5981268711060765,0.6666666666666666,0.2058823529411765,0.31460674157303364,0.4515528672356433,0.2051794302626711
scene,Random_SMOTE,1.0,0.6011408690023464,0.4,0.2352941176470588,0.29629629629629634,0.476997378302731,0.15952645209027005
scene,SVM_balance,0.7,0.5940003236507808,0.5185185185185185,0.2058823529411765,0.29473684210526313,0.4496674608079742,0.17467834093805235
scene,SMOTE,0.7,0.5933125657415649,0.5,0.2058823529411765,0.2916666666666667,0.4493524572941429,0.17086570477247506
scene,polynom_fit_SMOTE,0.9,0.5753802896674488,0.5789473684210527,0.16176470588235295,0.25287356321839083,0.3999807827732623,0.165351363981541
scene,ADASYN,0.1,0.5797698033821507,0.3611111111111111,0.19117647058823528,0.24999999999999994,0.43026532119367344,0.1382183376495252
scene,RandomOverSampler,0.9,0.5641131968605875,0.75,0.1323529411764706,0.2250000000000001,0.3630520355043584,0.17347854236034038
scene,No Oversampling,0.0,0.5280362488874504,0.6666666666666666,0.05882352941176471,0.10810810810810813,0.2422017836874059,0.11971883092859785
