dataset,oversampler,proportion,runtime,classifier,balanced_accuracy,geometric_mean,f1_score,precision,recall,avg_precision (AUPRC)
us_crime,SMOTE,0.3,0.004474163055419922,KNeighborsClassifier(),0.8366338259441708,0.834714782708984,0.5064935064935064,0.375,0.78,0.30919195751138084
us_crime,SMOTE,0.1,0.0026602745056152344,KNeighborsClassifier(),0.7961904761904761,0.7807200583588265,0.5765765765765766,0.5245901639344263,0.64,0.3630518172093833
us_crime,SMOTE,0.5,0.004538297653198242,KNeighborsClassifier(),0.8384236453201971,0.8375427347379448,0.48484848484848486,0.34782608695652173,0.8,0.29343537639374545
us_crime,SMOTE,1.0,0.007009983062744141,KNeighborsClassifier(),0.8269293924466339,0.8264907911856091,0.446927374301676,0.31007751937984496,0.8,0.263236522332404
us_crime,SMOTE,0.7,0.006231069564819336,KNeighborsClassifier(),0.8326765188834155,0.8320351135700133,0.4651162790697675,0.32786885245901637,0.8,0.2774695887957412
us_crime,SMOTE,0.9,0.006573915481567383,KNeighborsClassifier(),0.8285714285714285,0.828078671210825,0.45197740112994345,0.31496062992125984,0.8,0.2671430107655359
us_crime,synthsonic,1.0,82.46102595329285,KNeighborsClassifier(),0.8096223316912972,0.7991785602105228,0.5619834710743802,0.4788732394366197,0.68,0.3499130137425463
us_crime,synthsonic,0.9,79.28385496139526,KNeighborsClassifier(),0.8038752052545156,0.7942734284527849,0.53125,0.4358974358974359,0.68,0.3206894673359013
us_crime,synthsonic,0.1,79.44557619094849,KNeighborsClassifier(),0.7376847290640394,0.6983442768893001,0.5555555555555556,0.625,0.5,0.3504362670713202
us_crime,synthsonic,0.3,79.33708429336549,KNeighborsClassifier(),0.7629064039408866,0.740656079818041,0.5178571428571428,0.46774193548387094,0.58,0.3031567869205541
us_crime,synthsonic,0.7,79.14700412750244,KNeighborsClassifier(),0.7955172413793103,0.7838895066402469,0.5279999999999999,0.44,0.66,0.3161966616084977
us_crime,synthsonic,0.5,79.33718299865724,KNeighborsClassifier(),0.7753694581280788,0.7552770020023742,0.5454545454545454,0.5,0.6,0.33034901365705616
us_crime,ADASYN,1.0,0.23525404930114746,KNeighborsClassifier(),0.8203612479474549,0.8201085274010554,0.4278074866310161,0.291970802919708,0.8,0.24875114916429447
us_crime,ADASYN,0.9,0.2268941402435303,KNeighborsClassifier(),0.8244663382594417,0.8241032345617306,0.43956043956043955,0.30303030303030304,0.8,0.2575987492527705
us_crime,ADASYN,0.7,0.22421717643737796,KNeighborsClassifier(),0.8220032840722495,0.821708740683461,0.43243243243243246,0.2962962962962963,0.8,0.2522115438655651
us_crime,ADASYN,0.5,0.2117300033569336,KNeighborsClassifier(),0.8367816091954023,0.8359728313244658,0.4790419161676647,0.3418803418803419,0.8,0.2886787803328016
us_crime,ADASYN,0.1,0.21487998962402344,KNeighborsClassifier(),0.7788013136288998,0.7624392624333008,0.5210084033613446,0.4492753623188406,0.62,0.3073822876118845
us_crime,ADASYN,0.3,0.2267320156097412,KNeighborsClassifier(),0.8441707717569786,0.843014374024053,0.5063291139240506,0.37037037037037035,0.8,0.31147080312482434
us_crime,Borderline_SMOTE1,0.9,0.02620983123779297,KNeighborsClassifier(),0.848128078817734,0.84538736858062,0.5571428571428572,0.43333333333333335,0.78,0.3546919575113809
us_crime,Borderline_SMOTE1,1.0,0.029315948486328125,KNeighborsClassifier(),0.8473070607553366,0.8446295133242298,0.5531914893617021,0.42857142857142855,0.78,0.35097767179709516
us_crime,Borderline_SMOTE1,0.7,0.023784875869750977,KNeighborsClassifier(),0.8373070607553366,0.8337306113776269,0.5428571428571428,0.4222222222222222,0.76,0.33909829708312256
us_crime,Borderline_SMOTE1,0.5,0.022947072982788086,KNeighborsClassifier(),0.8473070607553366,0.8446295133242298,0.5531914893617021,0.42857142857142855,0.78,0.35097767179709516
us_crime,Borderline_SMOTE1,0.1,0.021475791931152344,KNeighborsClassifier(),0.8288013136288999,0.8216288040384269,0.5806451612903226,0.4864864864864865,0.72,0.3715145798302096
us_crime,Borderline_SMOTE1,0.3,0.022044897079467773,KNeighborsClassifier(),0.8330541871921182,0.8278406833711031,0.5606060606060607,0.45121951219512196,0.74,0.35362929790147674
us_crime,polynom_fit_SMOTE,0.9,0.0033559799194335933,KNeighborsClassifier(),0.848423645320197,0.8479473912484919,0.49397590361445787,0.35344827586206895,0.82,0.3034846423525718
us_crime,polynom_fit_SMOTE,1.0,0.005048990249633789,KNeighborsClassifier(),0.8459605911330049,0.8455621617942279,0.48520710059171596,0.3445378151260504,0.82,0.29617806454903656
us_crime,polynom_fit_SMOTE,0.7,0.003358125686645508,KNeighborsClassifier(),0.8525287356321839,0.851907933075389,0.5093167701863353,0.36936936936936937,0.82,0.3165399390285581
us_crime,polynom_fit_SMOTE,0.5,0.0035810470581054688,KNeighborsClassifier(),0.8466338259441708,0.8453485207360768,0.5161290322580645,0.38095238095238093,0.8,0.31993641159043285
us_crime,polynom_fit_SMOTE,0.1,0.0011289119720458984,KNeighborsClassifier(),0.797832512315271,0.7820649690169909,0.5871559633027523,0.5423728813559322,0.64,0.3744327563591472
us_crime,polynom_fit_SMOTE,0.3,0.00254511833190918,KNeighborsClassifier(),0.847159277504105,0.8426636943681861,0.59375,0.48717948717948717,0.76,0.38846581845064393
us_crime,Random_SMOTE,0.1,0.006276845932006836,KNeighborsClassifier(),0.7820853858784893,0.7651051421140279,0.5391304347826087,0.47692307692307695,0.62,0.32452387066651106
