dataset,oversampler,proportion,runtime,classifier,balanced_accuracy,geometric_mean,f1_score,precision,recall,avg_precision (AUPRC)
scene,SMOTE,0.9,0.014638185501098631,KNeighborsClassifier(),0.726547513217611,0.7194876450241157,0.2513089005235602,0.14814814814814814,0.8275862068965517,0.1351839803368756
scene,SMOTE,1.0,0.013597965240478516,KNeighborsClassifier(),0.7006854442520938,0.6966409167450984,0.23746701846965695,0.14018691588785046,0.7758620689655172,0.12511791186050422
scene,SMOTE,0.1,0.006872177124023438,KNeighborsClassifier(),0.6467973611565995,0.6155778105155668,0.26262626262626265,0.18571428571428572,0.4482758620689655,0.12350280385413762
scene,SMOTE,0.3,0.011372804641723631,KNeighborsClassifier(),0.6558625368455528,0.6537647990547054,0.2272727272727273,0.14,0.603448275862069,0.11341357623075254
scene,SMOTE,0.7,0.015379905700683594,KNeighborsClassifier(),0.7142539652833013,0.7115919957978735,0.25069637883008355,0.14950166112956811,0.7758620689655172,0.13234486937563
scene,SMOTE,0.5,0.013325929641723631,KNeighborsClassifier(),0.7246292050718195,0.7238315161823481,0.2666666666666667,0.16176470588235295,0.7586206896551724,0.14032811563141848
scene,synthsonic,0.1,455.3983328342438,KNeighborsClassifier(),0.5760305057783184,0.41098016112308466,0.24096385542168677,0.4,0.1724137931034483,0.12934287573194536
scene,synthsonic,0.3,458.97551584243774,KNeighborsClassifier(),0.62687736864268,0.5306318925576708,0.3269230769230769,0.3695652173913043,0.29310344827586204,0.15989316662423503
scene,synthsonic,1.0,462.4378848075866,KNeighborsClassifier(),0.6219295372666448,0.5382483794848436,0.288,0.26865671641791045,0.3103448275862069,0.13369068774539794
scene,synthsonic,0.7,460.23886704444885,KNeighborsClassifier(),0.6307490759369297,0.5433097775984702,0.32142857142857145,0.3333333333333333,0.3103448275862069,0.153762741270874
scene,synthsonic,0.5,459.27201104164124,KNeighborsClassifier(),0.6216488092453095,0.516603109052575,0.32653061224489793,0.4,0.27586206896551724,0.16317501626545217
scene,synthsonic,0.9,461.5853261947632,KNeighborsClassifier(),0.6332639311280588,0.5546028627553319,0.31147540983606553,0.296875,0.3275862068965517,0.14630875894599868
scene,ADASYN,0.7,0.24689388275146484,KNeighborsClassifier(),0.7188040986291115,0.7149538018977725,0.25136612021857924,0.14935064935064934,0.7931034482758621,0.13354485462488064
scene,ADASYN,0.5,0.22294902801513672,KNeighborsClassifier(),0.6908248725026903,0.6908238822377671,0.24615384615384614,0.149812734082397,0.6896551724137931,0.1259606363873395
scene,ADASYN,0.1,0.22812175750732425,KNeighborsClassifier(),0.627719552706686,0.5836036942010294,0.24864864864864866,0.18110236220472442,0.39655172413793105,0.11584161121043995
scene,ADASYN,0.3,0.23105597496032715,KNeighborsClassifier(),0.6705890609647687,0.6687299439887376,0.24,0.1487603305785124,0.6206896551724138,0.1200069542649539
scene,ADASYN,1.0,0.2455780506134033,KNeighborsClassifier(),0.6820872128386282,0.6795052708340704,0.22691292875989444,0.13395638629283488,0.7413793103448276,0.11818041781436912
scene,ADASYN,0.9,0.2492349147796631,KNeighborsClassifier(),0.6782155055443784,0.6766590003819668,0.22641509433962265,0.134185303514377,0.7241379310344828,0.11729445422565707
scene,Borderline_SMOTE1,0.7,0.09122729301452637,KNeighborsClassifier(),0.6441655359565808,0.6278260395655637,0.23868312757201648,0.15675675675675677,0.5,0.11485636579976202
scene,Borderline_SMOTE1,0.5,0.09068489074707033,KNeighborsClassifier(),0.6495929443690638,0.6321336443894311,0.24680851063829787,0.1638418079096045,0.5,0.1183988913761859
scene,Borderline_SMOTE1,0.1,0.08836793899536133,KNeighborsClassifier(),0.6440017779441352,0.5945643454383334,0.28571428571428575,0.22330097087378642,0.39655172413793105,0.13257554223437834
scene,Borderline_SMOTE1,0.3,0.08629131317138672,KNeighborsClassifier(),0.6398142516258831,0.6156158126645992,0.24324324324324328,0.16463414634146342,0.46551724137931033,0.11563374433353964
scene,Borderline_SMOTE1,1.0,0.08577084541320801,KNeighborsClassifier(),0.6451246900294765,0.6355660695000649,0.23048327137546468,0.14691943127962084,0.5344827586206896,0.11248816707625797
scene,Borderline_SMOTE1,0.9,0.0894310474395752,KNeighborsClassifier(),0.6326322930800543,0.6185727872126725,0.22307692307692306,0.14356435643564355,0.5,0.10826016563920543
scene,polynom_fit_SMOTE,0.7,0.005959272384643555,KNeighborsClassifier(),0.7010480512796519,0.6823053827877135,0.22371364653243847,0.12853470437017994,0.8620689655172413,0.12086867271122646
