dataset,oversampler,proportion,runtime,classifier,balanced_accuracy,geometric_mean,f1_score,precision,recall,avg_precision (AUPRC)
arrhythmia,SMOTE,0.3,0.0016939640045166016,KNeighborsClassifier(),0.5404929577464789,0.4557921443742086,0.11764705882352941,0.07692307692307693,0.25,0.05923076923076923
arrhythmia,SMOTE,1.0,0.0032329559326171875,KNeighborsClassifier(),0.6056338028169015,0.5963504027137916,0.1509433962264151,0.08888888888888889,0.5,0.07111111111111111
arrhythmia,SMOTE,0.1,0.001968860626220703,KNeighborsClassifier(),0.5651408450704225,0.469116640650501,0.14814814814814814,0.10526315789473684,0.25,0.06631578947368422
arrhythmia,SMOTE,0.5,0.0022258758544921875,KNeighborsClassifier(),0.6267605633802817,0.6138082464257724,0.1702127659574468,0.10256410256410256,0.5,0.07794871794871795
arrhythmia,SMOTE,0.7,0.0025861263275146484,KNeighborsClassifier(),0.5536971830985915,0.5240685902856073,0.12244897959183672,0.07317073170731707,0.375,0.06077235772357723
arrhythmia,SMOTE,0.9,0.0031011104583740234,KNeighborsClassifier(),0.602112676056338,0.5933908290969266,0.14814814814814817,0.08695652173913043,0.5,0.07014492753623189
arrhythmia,synthsonic,0.7,189.32445096969604,KNeighborsClassifier(),0.47183098591549294,0.0,0.0,0.0,0.0,0.05333333333333334
arrhythmia,synthsonic,0.5,189.2924609184265,KNeighborsClassifier(),0.47183098591549294,0.0,0.0,0.0,0.0,0.05333333333333334
arrhythmia,synthsonic,0.1,190.42290115356445,KNeighborsClassifier(),0.4894366197183099,0.0,0.0,0.0,0.0,0.05333333333333334
arrhythmia,synthsonic,0.3,190.03829312324524,KNeighborsClassifier(),0.4753521126760563,0.0,0.0,0.0,0.0,0.05333333333333334
arrhythmia,synthsonic,1.0,189.9591217041016,KNeighborsClassifier(),0.47183098591549294,0.0,0.0,0.0,0.0,0.05333333333333334
arrhythmia,synthsonic,0.9,189.6565458774567,KNeighborsClassifier(),0.47183098591549294,0.0,0.0,0.0,0.0,0.05333333333333334
arrhythmia,ADASYN,0.3,0.2263350486755371,KNeighborsClassifier(),0.522887323943662,0.4460310101011263,0.10256410256410256,0.06451612903225806,0.25,0.056129032258064517
arrhythmia,ADASYN,0.1,0.22646093368530276,KNeighborsClassifier(),0.46830985915492956,0.0,0.0,0.0,0.0,0.05333333333333334
arrhythmia,ADASYN,0.5,0.22258281707763672,KNeighborsClassifier(),0.5642605633802817,0.5315735344570978,0.13043478260869565,0.07894736842105263,0.375,0.06293859649122807
arrhythmia,ADASYN,0.7,0.21965527534484866,KNeighborsClassifier(),0.6161971830985915,0.6051422833504461,0.16,0.09523809523809523,0.5,0.07428571428571429
arrhythmia,ADASYN,1.0,0.21123194694519046,KNeighborsClassifier(),0.5985915492957746,0.5904164202457234,0.14545454545454545,0.0851063829787234,0.5,0.06921985815602837
arrhythmia,ADASYN,0.9,0.2150559425354004,KNeighborsClassifier(),0.6056338028169015,0.5963504027137916,0.1509433962264151,0.08888888888888889,0.5,0.07111111111111111
arrhythmia,Borderline_SMOTE1,0.5,0.005662918090820313,KNeighborsClassifier(),0.613556338028169,0.5652806856077136,0.1875,0.125,0.375,0.08020833333333333
arrhythmia,Borderline_SMOTE1,0.7,0.005860805511474609,KNeighborsClassifier(),0.5959507042253521,0.5534781189613679,0.16216216216216217,0.10344827586206896,0.375,0.0721264367816092
arrhythmia,Borderline_SMOTE1,0.3,0.005325078964233398,KNeighborsClassifier(),0.49559859154929575,0.32905113263340086,0.07142857142857144,0.05,0.125,0.05291666666666667
arrhythmia,Borderline_SMOTE1,0.1,0.007772922515869141,KNeighborsClassifier(),0.5202464788732395,0.3382848204077592,0.09523809523809525,0.07692307692307693,0.125,0.056282051282051285
arrhythmia,Borderline_SMOTE1,1.0,0.006503105163574219,KNeighborsClassifier(),0.5889084507042254,0.5486860104177699,0.15384615384615383,0.0967741935483871,0.375,0.06962365591397848
arrhythmia,Borderline_SMOTE1,0.9,0.006398916244506836,KNeighborsClassifier(),0.5369718309859155,0.45385671251283455,0.11428571428571428,0.07407407407407407,0.25,0.05851851851851852
arrhythmia,polynom_fit_SMOTE,1.0,0.0013988018035888672,KNeighborsClassifier(),0.5360915492957746,0.5113156187442655,0.11111111111111109,0.06521739130434782,0.375,0.057789855072463765
arrhythmia,polynom_fit_SMOTE,0.5,0.0010402202606201172,KNeighborsClassifier(),0.5431338028169015,0.516454598307224,0.11538461538461538,0.06818181818181818,0.375,0.05890151515151515
arrhythmia,polynom_fit_SMOTE,0.7,0.0012180805206298828,KNeighborsClassifier(),0.5360915492957746,0.5113156187442655,0.11111111111111109,0.06521739130434782,0.375,0.057789855072463765
arrhythmia,polynom_fit_SMOTE,0.3,0.0009038448333740234,KNeighborsClassifier(),0.5607394366197183,0.5290837149873249,0.12765957446808512,0.07692307692307693,0.375,0.06217948717948718
arrhythmia,polynom_fit_SMOTE,0.1,0.0008890628814697266,KNeighborsClassifier(),0.6029929577464789,0.5582290912428868,0.17142857142857143,0.1111111111111111,0.375,0.075
arrhythmia,polynom_fit_SMOTE,0.9,0.0013911724090576172,KNeighborsClassifier(),0.5360915492957746,0.5113156187442655,0.11111111111111109,0.06521739130434782,0.375,0.057789855072463765
arrhythmia,Random_SMOTE,0.7,0.008489131927490234,KNeighborsClassifier(),0.6161971830985915,0.6051422833504461,0.16,0.09523809523809523,0.5,0.07428571428571429
arrhythmia,Random_SMOTE,0.5,0.006792783737182617,KNeighborsClassifier(),0.619718309859155,0.6080446610728154,0.163265306122449,0.0975609756097561,0.5,0.07544715447154472
arrhythmia,Random_SMOTE,0.1,0.002343893051147461,KNeighborsClassifier(),0.44366197183098594,0.0,0.0,0.0,0.0,0.05333333333333334
arrhythmia,Random_SMOTE,0.3,0.004456996917724609,KNeighborsClassifier(),0.5783450704225352,0.541418325158007,0.14285714285714285,0.08823529411764706,0.375,0.06642156862745098
arrhythmia,Random_SMOTE,0.9,0.010236024856567385,KNeighborsClassifier(),0.5985915492957746,0.5904164202457234,0.14545454545454545,0.0851063829787234,0.5,0.06921985815602837
arrhythmia,Random_SMOTE,1.0,0.011787891387939451,KNeighborsClassifier(),0.5915492957746479,0.5844221896665526,0.14035087719298245,0.08163265306122448,0.5,0.0674829931972789
arrhythmia,RandomOverSampler,1.0,0.001039266586303711,KNeighborsClassifier(),0.44014084507042256,0.0,0.0,0.0,0.0,0.05333333333333334
arrhythmia,RandomOverSampler,0.1,0.0015017986297607422,KNeighborsClassifier(),0.4894366197183099,0.0,0.0,0.0,0.0,0.05333333333333334
arrhythmia,RandomOverSampler,0.3,0.0011072158813476562,KNeighborsClassifier(),0.44366197183098594,0.0,0.0,0.0,0.0,0.05333333333333334
arrhythmia,RandomOverSampler,0.7,0.0009760856628417967,KNeighborsClassifier(),0.44014084507042256,0.0,0.0,0.0,0.0,0.05333333333333334
arrhythmia,RandomOverSampler,0.5,0.002380847930908203,KNeighborsClassifier(),0.44014084507042256,0.0,0.0,0.0,0.0,0.05333333333333334
arrhythmia,RandomOverSampler,0.9,0.0013759136199951172,KNeighborsClassifier(),0.44014084507042256,0.0,0.0,0.0,0.0,0.05333333333333334
arrhythmia,SMOTENC,1.0,0.5601804256439209,KNeighborsClassifier(),0.6373239436619718,0.6223535519798788,0.1818181818181818,0.1111111111111111,0.5,0.08222222222222222
arrhythmia,SMOTENC,0.9,0.5461218357086182,KNeighborsClassifier(),0.6408450704225352,0.6251760315483433,0.18604651162790695,0.11428571428571428,0.5,0.0838095238095238
arrhythmia,SMOTENC,0.3,0.3871099948883057,KNeighborsClassifier(),0.5404929577464789,0.4557921443742086,0.11764705882352941,0.07692307692307693,0.25,0.05923076923076923
arrhythmia,SMOTENC,0.1,0.3168098926544189,KNeighborsClassifier(),0.46830985915492956,0.0,0.0,0.0,0.0,0.05333333333333334
arrhythmia,SMOTENC,0.5,0.4498319625854492,KNeighborsClassifier(),0.5299295774647887,0.4499608746684476,0.1081081081081081,0.06896551724137931,0.25,0.05724137931034483
arrhythmia,SMOTENC,0.7,0.5100150108337402,KNeighborsClassifier(),0.5264084507042254,0.44800025150898376,0.10526315789473685,0.06666666666666667,0.25,0.05666666666666667
arrhythmia,SVMSMOTE,0.9,0.013393163681030272,KNeighborsClassifier(),0.630281690140845,0.6166698388447784,0.17391304347826086,0.10526315789473684,0.5,0.07929824561403509
arrhythmia,SVMSMOTE,1.0,0.013703107833862305,KNeighborsClassifier(),0.619718309859155,0.6080446610728154,0.163265306122449,0.0975609756097561,0.5,0.07544715447154472
arrhythmia,SVMSMOTE,0.1,0.016478300094604492,KNeighborsClassifier(),0.46830985915492956,0.0,0.0,0.0,0.0,0.05333333333333334
arrhythmia,SVMSMOTE,0.3,0.01551198959350586,KNeighborsClassifier(),0.4154929577464789,0.0,0.0,0.0,0.0,0.05333333333333334
arrhythmia,SVMSMOTE,0.7,0.01655292510986328,KNeighborsClassifier(),0.5818661971830985,0.5438516782058541,0.14634146341463414,0.09090909090909091,0.375,0.06742424242424241
arrhythmia,SVMSMOTE,0.5,0.01332402229309082,KNeighborsClassifier(),0.5959507042253521,0.5534781189613679,0.16216216216216217,0.10344827586206896,0.375,0.0721264367816092
