dataset,oversampler,proportion,runtime,classifier,balanced_accuracy,geometric_mean,f1_score,precision,recall,avg_precision (AUPRC)
isolet,SMOTE,0.1,0.12497496604919435,DecisionTreeClassifier(random_state=5),0.807449494949495,0.7901942471763412,0.654639175257732,0.6684210526315789,0.6414141414141414,0.4563182431603484
isolet,SMOTE,0.3,0.13495898246765134,DecisionTreeClassifier(random_state=5),0.8186026936026936,0.8053167162266057,0.6440677966101694,0.6186046511627907,0.6717171717171717,0.44077989194268263
isolet,SMOTE,0.7,0.1661529541015625,DecisionTreeClassifier(random_state=5),0.8348063973063973,0.8249759477849632,0.6557377049180328,0.611353711790393,0.7070707070707071,0.454803323798957
isolet,SMOTE,0.5,0.13959717750549314,DecisionTreeClassifier(random_state=5),0.8436447811447811,0.8348611135617249,0.6745283018867924,0.6327433628318584,0.7222222222222222,0.47834883896830793
isolet,SMOTE,1.0,0.17851018905639648,DecisionTreeClassifier(random_state=5),0.8373316498316499,0.8279170478364082,0.6588785046728972,0.6130434782608696,0.7121212121212122,0.45870578696665654
isolet,SMOTE,0.9,0.18059110641479487,DecisionTreeClassifier(random_state=5),0.8497474747474747,0.8422843427182821,0.6728110599078342,0.6186440677966102,0.7373737373737373,0.47637390857729844
isolet,synthsonic,0.9,2396.950390100479,DecisionTreeClassifier(random_state=5),0.7643097643097643,0.7380422226973876,0.5628140703517588,0.56,0.5656565656565656,0.3501787101787102
isolet,synthsonic,0.7,2379.4071550369267,DecisionTreeClassifier(random_state=5),0.7668350168350169,0.7399751170315121,0.5803108808290155,0.5957446808510638,0.5656565656565656,0.3703979235894129
isolet,synthsonic,0.5,2376.7108421325684,DecisionTreeClassifier(random_state=5),0.7954545454545454,0.7772528728569954,0.6108374384236452,0.5961538461538461,0.6262626262626263,0.4020979020979021
isolet,synthsonic,0.1,2412.2012321949005,DecisionTreeClassifier(random_state=5),0.7668350168350169,0.7385834825238619,0.5951742627345843,0.6342857142857142,0.5606060606060606,0.3893839493839493
isolet,synthsonic,0.3,2397.102461099625,DecisionTreeClassifier(random_state=5),0.7569444444444444,0.728249729560708,0.5532994923857868,0.5561224489795918,0.5505050505050505,0.3407247514390372
isolet,synthsonic,1.0,2385.158658027649,DecisionTreeClassifier(random_state=5),0.7927188552188552,0.7739435532452194,0.605911330049261,0.5913461538461539,0.6212121212121212,0.39648892773892774
isolet,ADASYN,0.9,0.6323449611663818,DecisionTreeClassifier(random_state=5),0.8080808080808081,0.7927684325026424,0.6277372262773722,0.6056338028169014,0.6515151515151515,0.42138612561147765
isolet,ADASYN,0.5,0.6076748371124268,DecisionTreeClassifier(random_state=5),0.7910353535353536,0.7725910951506568,0.5942028985507246,0.5694444444444444,0.6212121212121212,0.3828833203833204
isolet,ADASYN,0.7,0.6296560764312744,DecisionTreeClassifier(random_state=5),0.8141835016835017,0.7997612025838621,0.642156862745098,0.6238095238095238,0.6616161616161617,0.4387519887519888
