,dataset,oversampler,proportion,runtime,classifier,balanced_accuracy,geometric_mean,f1_score,precision,recall,avg_precision (AUPRC)
0,ecoli,SMOTE,0.7,0.0014536380767822266,DecisionTreeClassifier(random_state=5),0.8560606060606061,0.8557588634207842,0.5882352941176471,0.4545454545454545,0.8333333333333334,0.3968058968058968
1,ecoli,SMOTE,1.0,0.0023741722106933594,DecisionTreeClassifier(random_state=5),0.8926767676767677,0.8923543557893895,0.6111111111111109,0.4583333333333333,0.9166666666666666,0.42914789789789787
2,ecoli,SMOTE,0.5,0.0011279582977294922,DecisionTreeClassifier(random_state=5),0.9078282828282828,0.9077852576871216,0.6666666666666667,0.5238095238095238,0.9166666666666666,0.4891677391677392
3,ecoli,SMOTE,0.1,0.002488851547241211,DecisionTreeClassifier(random_state=5),0.7929292929292929,0.7828119907069723,0.5714285714285715,0.5,0.6666666666666666,0.36936936936936937
4,ecoli,SMOTE,0.3,0.0013730525970458984,DecisionTreeClassifier(random_state=5),0.8712121212121212,0.8703882797784892,0.6451612903225806,0.5263157894736842,0.8333333333333334,0.4566145092460882
5,ecoli,SMOTE,0.9,0.001986980438232422,DecisionTreeClassifier(random_state=5),0.8926767676767677,0.8923543557893895,0.6111111111111109,0.4583333333333333,0.9166666666666666,0.42914789789789787
6,ecoli,synthsonic,0.3,1.99601411819458,DecisionTreeClassifier(random_state=5),0.8459595959595959,0.8458653648709205,0.5555555555555556,0.4166666666666667,0.8333333333333334,0.36524024024024027
7,ecoli,synthsonic,0.1,1.9795403480529783,DecisionTreeClassifier(random_state=5),0.8712121212121212,0.8703882797784892,0.6451612903225806,0.5263157894736842,0.8333333333333334,0.4566145092460882
8,ecoli,synthsonic,0.5,1.8691880702972408,DecisionTreeClassifier(random_state=5),0.7462121212121212,0.7282190812544191,0.5,0.4375,0.5833333333333334,0.3002533783783784
9,ecoli,synthsonic,0.7,1.9259681701660158,DecisionTreeClassifier(random_state=5),0.8143939393939394,0.8118441408859888,0.5454545454545454,0.42857142857142855,0.75,0.3484555984555984
10,ecoli,synthsonic,1.0,1.8759770393371584,DecisionTreeClassifier(random_state=5),0.8459595959595959,0.8458653648709205,0.5555555555555556,0.4166666666666667,0.8333333333333334,0.36524024024024027
11,ecoli,synthsonic,0.9,1.9601080417633057,DecisionTreeClassifier(random_state=5),0.7626262626262625,0.7565649822656163,0.4705882352941177,0.3636363636363637,0.6666666666666666,0.2784602784602785
12,ecoli,ADASYN,1.0,0.21223902702331546,DecisionTreeClassifier(random_state=5),0.8560606060606061,0.8557588634207842,0.5882352941176471,0.4545454545454545,0.8333333333333334,0.3968058968058968
13,ecoli,ADASYN,0.1,0.21233296394348145,DecisionTreeClassifier(random_state=5),0.7714646464646464,0.7481739836189907,0.6086956521739131,0.6363636363636364,0.5833333333333334,0.41625716625716624
14,ecoli,ADASYN,0.3,0.20546293258666992,DecisionTreeClassifier(random_state=5),0.7878787878787878,0.7784989441615229,0.5517241379310345,0.4705882352941176,0.6666666666666666,0.3497615262321145
15,ecoli,ADASYN,0.7,0.2097461223602295,DecisionTreeClassifier(random_state=5),0.7727272727272727,0.7654139963827326,0.5,0.4,0.6666666666666666,0.3027027027027027
16,ecoli,ADASYN,0.5,0.21075129508972168,DecisionTreeClassifier(random_state=5),0.922979797979798,0.9229582069908971,0.7333333333333334,0.6111111111111112,0.9166666666666666,0.5691941941941943
17,ecoli,ADASYN,0.9,0.2080397605895996,DecisionTreeClassifier(random_state=5),0.8876262626262625,0.8871510790372951,0.5945945945945945,0.44,0.9166666666666666,0.4123423423423424
18,ecoli,Borderline_SMOTE1,0.9,0.003130912780761719,DecisionTreeClassifier(random_state=5),0.8661616161616161,0.8655392822733404,0.625,0.5,0.8333333333333334,0.4346846846846847
19,ecoli,Borderline_SMOTE1,0.7,0.002884864807128907,DecisionTreeClassifier(random_state=5),0.8345959595959596,0.8302975005345611,0.6206896551724139,0.5294117647058824,0.75,0.4240858505564388
20,ecoli,Borderline_SMOTE1,0.5,0.0032401084899902344,DecisionTreeClassifier(random_state=5),0.7929292929292929,0.7828119907069723,0.5714285714285715,0.5,0.6666666666666666,0.36936936936936937
21,ecoli,Borderline_SMOTE1,0.1,0.002749919891357422,DecisionTreeClassifier(random_state=5),0.9179292929292928,0.9179284245476836,0.7096774193548387,0.5789473684210527,0.9166666666666666,0.5397107633949739
22,ecoli,Borderline_SMOTE1,1.0,0.003019094467163086,DecisionTreeClassifier(random_state=5),0.9078282828282828,0.9077852576871216,0.6666666666666667,0.5238095238095238,0.9166666666666666,0.4891677391677392
23,ecoli,Borderline_SMOTE1,0.3,0.003058910369873047,DecisionTreeClassifier(random_state=5),0.8244949494949495,0.8211226608993472,0.5806451612903226,0.4736842105263158,0.75,0.3822901849217639
24,ecoli,polynom_fit_SMOTE,0.9,0.0008001327514648438,DecisionTreeClassifier(random_state=5),0.7727272727272727,0.7654139963827326,0.5,0.4,0.6666666666666666,0.3027027027027027
25,ecoli,polynom_fit_SMOTE,1.0,0.0007948875427246094,DecisionTreeClassifier(random_state=5),0.7727272727272727,0.7654139963827326,0.5,0.4,0.6666666666666666,0.3027027027027027
26,ecoli,polynom_fit_SMOTE,0.7,0.0008351802825927732,DecisionTreeClassifier(random_state=5),0.7727272727272727,0.7654139963827326,0.5,0.4,0.6666666666666666,0.3027027027027027
27,ecoli,polynom_fit_SMOTE,0.5,0.0008301734924316406,DecisionTreeClassifier(random_state=5),0.7727272727272727,0.7654139963827326,0.5,0.4,0.6666666666666666,0.3027027027027027
28,ecoli,polynom_fit_SMOTE,0.1,0.00043392181396484375,DecisionTreeClassifier(random_state=5),0.7676767676767677,0.7610023515893883,0.4848484848484849,0.3809523809523809,0.6666666666666666,0.29000429000428996
