dataset,oversampler,proportion,runtime,classifier,balanced_accuracy,geometric_mean,f1_score,precision,recall,avg_precision (AUPRC)
sick_euthyroid,SMOTE,0.5,0.00492405891418457,DecisionTreeClassifier(random_state=5),0.9413394441480964,0.941038181045183,0.8127853881278538,0.7295081967213115,0.9175257731958762,0.6770054074984928
sick_euthyroid,SMOTE,0.7,0.005809783935546875,DecisionTreeClassifier(random_state=5),0.9125235415147128,0.9107507344812616,0.7942583732057417,0.7410714285714286,0.8556701030927835,0.6475226273706544
sick_euthyroid,SMOTE,0.3,0.004669904708862305,DecisionTreeClassifier(random_state=5),0.9306273745631892,0.929585240316891,0.8309178743961353,0.7818181818181819,0.8865979381443299,0.7036947864711818
sick_euthyroid,SMOTE,0.1,0.00292205810546875,DecisionTreeClassifier(random_state=5),0.9290434252495672,0.9280733088629622,0.8190476190476191,0.7610619469026548,0.8865979381443299,0.6852923513914362
sick_euthyroid,SMOTE,0.9,0.007030963897705078,DecisionTreeClassifier(random_state=5),0.9114675753056314,0.9097580903340092,0.7867298578199052,0.7280701754385965,0.8556701030927835,0.6363978437621486
sick_euthyroid,SMOTE,1.0,0.009228944778442385,DecisionTreeClassifier(random_state=5),0.9100088178621584,0.9077095821750774,0.8078817733990147,0.7735849056603774,0.845360824742268,0.6683261899491802
sick_euthyroid,synthsonic,1.0,11.481756210327148,DecisionTreeClassifier(random_state=5),0.9034226368673728,0.9026463667614492,0.7088607594936709,0.6,0.865979381443299,0.5320397361456729
sick_euthyroid,synthsonic,0.7,11.536046028137207,DecisionTreeClassifier(random_state=5),0.9203180962126738,0.9187125242934989,0.8195121951219513,0.7777777777777778,0.865979381443299,0.6859916261800372
sick_euthyroid,synthsonic,0.5,11.56627082824707,DecisionTreeClassifier(random_state=5),0.8970596239889396,0.8941399046121983,0.7766990291262136,0.7339449541284404,0.8247422680412371,0.6215989509895262
sick_euthyroid,synthsonic,0.1,11.462098121643065,DecisionTreeClassifier(random_state=5),0.9223048367606876,0.9211561883684612,0.8018867924528302,0.7391304347826086,0.8762886597938144,0.6591858709820347
sick_euthyroid,synthsonic,0.3,11.432154893875122,DecisionTreeClassifier(random_state=5),0.9233608029697689,0.9221601736129135,0.8095238095238095,0.7522123893805309,0.8762886597938144,0.6706494394441316
sick_euthyroid,synthsonic,0.9,11.495373249053955,DecisionTreeClassifier(random_state=5),0.9211236786814574,0.9204764009294447,0.7644444444444445,0.671875,0.8865979381443299,0.6062193881581546
sick_euthyroid,ADASYN,0.1,0.2263951301574707,DecisionTreeClassifier(random_state=5),0.9331420982157437,0.9324383136750405,0.8169014084507044,0.75,0.8969072164948454,0.6822589564324367
sick_euthyroid,ADASYN,0.3,0.2334339618682861,DecisionTreeClassifier(random_state=5),0.9367127880773795,0.9362482662377903,0.8110599078341014,0.7333333333333333,0.9072164948453608,0.6739127858751036
sick_euthyroid,ADASYN,0.7,0.2224838733673096,DecisionTreeClassifier(random_state=5),0.9258755266223233,0.925042032472859,0.7962962962962962,0.7226890756302521,0.8865979381443299,0.6512710428406461
sick_euthyroid,ADASYN,0.5,0.2279727458953857,DecisionTreeClassifier(random_state=5),0.9300993914586486,0.9290815365463305,0.8269230769230769,0.7747747747747747,0.8865979381443299,0.6974501163089858
sick_euthyroid,ADASYN,1.0,0.2315459251403809,DecisionTreeClassifier(random_state=5),0.9125235415147128,0.9107507344812616,0.7942583732057417,0.7410714285714286,0.8556701030927835,0.6475226273706544
sick_euthyroid,ADASYN,0.9,0.2290899753570557,DecisionTreeClassifier(random_state=5),0.9093556428874688,0.9077695456822921,0.7720930232558139,0.7033898305084746,0.8556701030927835,0.6152796104714257
sick_euthyroid,Borderline_SMOTE1,0.1,0.01297593116760254,DecisionTreeClassifier(random_state=5),0.9352540306339063,0.9344675615891395,0.8325358851674641,0.7767857142857143,0.8969072164948454,0.706283256874263
sick_euthyroid,Borderline_SMOTE1,0.3,0.013735055923461914,DecisionTreeClassifier(random_state=5),0.9419926191227861,0.9413504744047497,0.8502415458937198,0.8,0.9072164948453608,0.7343938855314611
sick_euthyroid,Borderline_SMOTE1,0.7,0.01578497886657715,DecisionTreeClassifier(random_state=5),0.9352540306339063,0.9344675615891395,0.8325358851674641,0.7767857142857143,0.8969072164948454,0.706283256874263
sick_euthyroid,Borderline_SMOTE1,0.5,0.014966011047363281,DecisionTreeClassifier(random_state=5),0.9233608029697689,0.9221601736129135,0.8095238095238095,0.7522123893805309,0.8762886597938144,0.6706494394441316
sick_euthyroid,Borderline_SMOTE1,0.9,0.020090818405151367,DecisionTreeClassifier(random_state=5),0.9480780326369762,0.9478618980027448,0.8294930875576036,0.75,0.9278350515463918,0.7025812695027056
sick_euthyroid,Borderline_SMOTE1,1.0,0.01743912696838379,DecisionTreeClassifier(random_state=5),0.9233608029697689,0.9221601736129135,0.8095238095238095,0.7522123893805309,0.8762886597938144,0.6706494394441316
sick_euthyroid,polynom_fit_SMOTE,1.0,0.004891157150268555,DecisionTreeClassifier(random_state=5),0.9244167691788502,0.9231630669746735,0.8173076923076923,0.7657657657657657,0.8762886597938144,0.6825261094724301
sick_euthyroid,polynom_fit_SMOTE,0.1,0.0013158321380615234,DecisionTreeClassifier(random_state=5),0.9203180962126738,0.9187125242934989,0.8195121951219513,0.7777777777777778,0.865979381443299,0.6859916261800372
sick_euthyroid,polynom_fit_SMOTE,0.3,0.0022308826446533203,DecisionTreeClassifier(random_state=5),0.9316833407722706,0.9305918299353672,0.8390243902439023,0.7962962962962963,0.8865979381443299,0.7165310529156955
