dataset,oversampler,proportion,runtime,classifier,balanced_accuracy,geometric_mean,f1_score,precision,recall,avg_precision (AUPRC)
abalone_19,SMOTE,1.0,0.008497953414916992,DecisionTreeClassifier(random_state=5),0.619185273790537,0.5131834533364354,0.09836065573770492,0.06,0.2727272727272727,0.022164941657327443
abalone_19,SMOTE,0.9,0.00797581672668457,DecisionTreeClassifier(random_state=5),0.619185273790537,0.5131834533364354,0.09836065573770492,0.06,0.2727272727272727,0.022164941657327443
abalone_19,SMOTE,0.1,0.001828908920288086,DecisionTreeClassifier(random_state=5),0.6261297182349814,0.516860847391431,0.14285714285714285,0.0967741935483871,0.2727272727272727,0.03219426717052392
abalone_19,SMOTE,0.3,0.0032439231872558594,DecisionTreeClassifier(random_state=5),0.623936735778841,0.5157023980139944,0.125,0.08108108108108109,0.2727272727272727,0.027914327406713194
abalone_19,SMOTE,0.7,0.006600856781005859,DecisionTreeClassifier(random_state=5),0.6202817650186071,0.5137658444298446,0.10344827586206895,0.06382978723404255,0.2727272727272727,0.023209429084793592
abalone_19,SMOTE,0.5,0.004895925521850586,DecisionTreeClassifier(random_state=5),0.5755582137161085,0.41980476969312447,0.07272727272727272,0.045454545454545456,0.18181818181818182,0.014790931265319822
abalone_19,synthsonic,1.0,2.3372950553894043,DecisionTreeClassifier(random_state=5),0.48793859649122806,0.0,0.0,0.0,0.0,0.007976794778825236
abalone_19,synthsonic,0.7,2.3323729038238525,DecisionTreeClassifier(random_state=5),0.4923245614035088,0.0,0.0,0.0,0.0,0.007976794778825236
abalone_19,synthsonic,0.5,2.310635089874268,DecisionTreeClassifier(random_state=5),0.489766081871345,0.0,0.0,0.0,0.0,0.007976794778825236
abalone_19,synthsonic,0.1,2.4530129432678223,DecisionTreeClassifier(random_state=5),0.49159356725146197,0.0,0.0,0.0,0.0,0.007976794778825236
abalone_19,synthsonic,0.3,2.3373959064483643,DecisionTreeClassifier(random_state=5),0.48903508771929827,0.0,0.0,0.0,0.0,0.007976794778825236
abalone_19,synthsonic,0.9,2.3196179866790767,DecisionTreeClassifier(random_state=5),0.4923245614035088,0.0,0.0,0.0,0.0,0.007976794778825236
abalone_19,ADASYN,0.7,0.2360720634460449,DecisionTreeClassifier(random_state=5),0.6617158426368952,0.5907761679311615,0.1142857142857143,0.06779661016949153,0.36363636363636365,0.029729454920885703
